MonitoringLocationIdentifier,MLD,SSH,SSS^2,U,V,Rrs_412,Rrs_443,Rrs_488,Rrs_555,Rrs_667,SST,POC,KD490,ln_CHL,SST_x_cos_Longitude,SST_x_cos_Latitude,lg_DIN
571,8.200759868,0.330479333,-148.147785,0.041811604,0.045802677,0.008345603,0.010190603,0.013238349,0.017485214,0.009233257,30.40169732,386.4045543,0.369821297,1.632386832,-15.77158757,25.86610183,0.118925753
571,8.21383923,0.295046721,-190.4993888,0.003475373,0.051350818,0.009218653,0.011008376,0.013966052,0.01791996,0.009195965,29.80588322,365.7424569,0.315192177,1.50361389,-15.46249515,25.35917657,0.131297797
571,8.337781754,0.465719928,-105.8142663,0.029178186,-0.104545202,0.012695448,0.015623684,0.019240028,0.023559911,0.015281839,21.03821076,367.468782,0.312643395,1.469489277,-10.91406114,17.89954344,0.134495856
571,8.183943545,0.228609794,-195.6832235,0.017214931,0.089427952,0.010588609,0.013249837,0.017163987,0.020354712,0.009209235,22.04139014,343.6051075,0.264626835,1.293332157,-11.43448378,18.7530596,0.197280558
571,8.702758231,0.589025917,-154.3654763,0.030640583,-0.139358725,0.014629027,0.017447541,0.020919725,0.024935145,0.017625437,21.71823294,323.0011127,0.247369107,1.26089269,-11.26683846,18.47811386,0.201397124
571,8.516533032,0.50513614,-136.0663298,0.041574929,-0.072791005,0.014185572,0.016930892,0.020777822,0.024757741,0.015888768,23.29467567,323.7694036,0.240969922,1.230729432,-12.0846548,19.81936885,0.203576775
571,8.21944467,0.335631356,-161.7371537,-0.010005088,0.109032046,0.007076525,0.008027386,0.009981081,0.012972201,0.007169097,30.13900733,370.9196938,0.421107065,1.705157313,-15.63531103,25.64260226,0.23350376
571,8.183320719,0.167885435,-165.0202083,0.006445011,0.122684408,0.008931158,0.011444122,0.014938844,0.018398984,0.00837978,21.02995429,360.4451014,0.321450359,1.462836238,-10.90977791,17.89251874,0.251151343
572,8.09253456,0.309760306,-166.2190216,0.023004288,0.055756547,0.009458131,0.010377743,0.012701118,0.016712785,0.007808063,30.52223786,355.7465495,0.338254547,1.541288278,-15.86598858,26.01613208,-0.047207557
572,8.175883434,0.480353645,-86.47681621,0.013135782,-0.115593343,0.012825232,0.015874529,0.019525043,0.024017232,0.015637947,21.21934191,365.8571715,0.308329802,1.457787346,-11.03018192,18.08665551,0.042969073
572,8.267567196,0.558264322,-99.18916535,0.005306117,-0.030387716,0.011311232,0.013865793,0.01735582,0.021956062,0.013922668,26.24722788,366.3856506,0.31106804,1.456603293,-13.64376425,22.37225692,0.100715087
572,8.10856319,0.299208339,-189.5781929,0.001392567,0.045075069,0.009234813,0.011041811,0.014070737,0.018257126,0.009487295,29.84627797,367.773199,0.320217162,1.518203673,-15.5146129,25.43996653,0.103803721
572,8.198323516,0.426160209,-87.81606245,0.016651822,-0.059611112,0.012361923,0.014816406,0.018012855,0.02279143,0.017624395,19.54354819,346.4495512,0.286735102,1.400307286,-10.15907529,16.65826514,0.150449409
572,8.097022576,0.286231561,-177.9242852,0.047193413,0.125446461,0.009681398,0.012062989,0.015127671,0.019527781,0.010333703,30.88587689,358.8195165,0.302185289,1.457174102,-16.05501445,26.32608579,0.167612673
572,8.083558527,0.234833519,-171.2602669,-0.002154248,0.078619784,0.007197406,0.009148772,0.011696054,0.015026619,0.006127375,21.76437366,382.0181894,0.388290813,1.667478478,-11.31349888,18.5512223,0.172018809
572,8.141261594,0.324409191,-240.5221206,0.003969971,0.155577719,0.008181393,0.010010033,0.013061889,0.016928599,0.007455197,29.29310441,383.7514474,0.357964489,1.544050121,-15.22706369,24.96845994,0.179264464
572,8.083558527,0.23313192,-196.7788359,0.017418632,0.081027925,0.010422799,0.013054008,0.016877245,0.020091762,0.009350229,22.14994458,347.7257551,0.274165752,1.326253928,-11.51392533,18.87987003,0.191730393
572,8.421442041,0.60628353,-124.6235367,0.017185255,-0.144285871,0.014304423,0.017166484,0.020666546,0.024629057,0.017428002,21.88357233,325.1536072,0.248000578,1.264402231,-11.37546042,18.65282325,0.200303183
572,8.083558527,0.169614951,-162.7770344,0.012212533,0.109589659,0.008616197,0.011059359,0.014453355,0.017928967,0.008383101,21.21285261,364.4564598,0.3283363,1.487167732,-11.02680867,18.08112425,0.201123897
572,8.101510593,0.329183158,-152.7777508,0.042159141,0.038109668,0.00791002,0.00970736,0.01261133,0.016705325,0.0086676,30.35296067,384.3226653,0.379396917,1.645990096,-15.77799536,25.87184588,0.214048679
572,8.244485969,0.522982104,-95.37250114,0.034208941,-0.077470852,0.013947645,0.016770463,0.020657634,0.02477176,0.016314231,23.45605206,326.1871134,0.243243691,1.241691196,-12.19286265,19.99315224,0.2219356
572,8.082276237,0.213385931,-179.6252436,0.007762986,0.059400816,0.012676709,0.016274781,0.019553586,0.022121319,0.010721545,20.09827468,294.0188238,0.207818895,1.057986293,-10.44743174,17.1310954,0.240049772
